onset	duration	trial_num	stim_id	is_task	correct
138.789	3	1	394	0	2
144.567	3	2	287	0	2
150.311	3	3	278	0	2
156.123	3	4	425	0	2
161.917	3	5	294	0	2
167.711	3	6	396	0	2
173.473	3	7	1050	0	2
179.234	3	8	1098	0	2
184.995	3	9	479	0	2
190.739	3	10	314	0	2
196.5	3	11	480	0	2
202.261	3	12	476	0	2
208.022	3	13	261	0	2
213.783	3	14	438	0	2
219.577	3	15	1054	0	2
225.338	3	16	1093	0	2
231.1	3	17	1030	0	2
236.894	3	18	378	1	1
244.141	3	19	494	1	1
251.138	3	20	269	0	2
256.899	3	21	345	1	1
263.762	3	22	1051	0	2
269.523	3	23	344	0	2
275.301	3	24	258	0	2
281.079	3	25	406	0	2
286.823	3	26	435	0	2
292.617	3	27	426	0	2
298.378	3	28	471	0	2
304.139	3	29	386	0	2
309.917	3	30	401	0	2
315.712	3	31	349	0	2
321.473	3	32	335	0	2
327.234	3	33	460	0	2
332.995	3	34	1098	0	2
338.756	3	35	360	0	2
344.517	3	36	338	0	2
350.261	3	37	416	0	2
356.039	3	38	1056	0	2
361.783	3	39	1002	0	2
367.578	3	40	371	0	2
373.339	3	41	384	0	2
379.133	3	42	1066	0	2
384.928	3	43	299	0	2
390.689	3	44	273	1	1
400.674	3	45	326	0	2
406.435	3	46	495	0	2
412.196	3	47	443	0	2
417.957	3	48	1014	0	2
423.719	3	49	1089	1	1
430.899	3	50	462	0	2
436.643	3	51	365	0	2
442.438	3	52	373	1	1
450.002	3	53	283	0	2
455.763	3	54	1070	0	2
461.524	3	55	1101	0	2
467.319	3	56	1082	0	2
473.08	3	57	1054	0	2
478.841	3	58	366	0	2
484.602	3	59	1088	0	2
490.413	3	60	356	0	2
496.191	3	61	497	0	2
501.952	3	62	397	0	2
507.746	3	63	464	0	2
513.507	3	64	412	0	2
519.302	3	65	288	0	2
525.046	3	66	251	0	2
