onset	duration	trial_num	stim_id	is_task	correct
146.71	3	1	432	1	1
153.724	3	2	1028	0	2
159.485	3	3	353	0	2
165.263	3	4	259	0	2
171.024	3	5	308	0	2
176.785	3	6	1048	0	2
182.546	3	7	1007	0	2
188.307	3	8	361	0	2
194.068	3	9	275	0	2
199.829	3	10	1008	0	2
205.573	3	11	327	0	2
211.334	3	12	1102	0	2
217.129	3	13	342	0	2
222.89	3	14	377	0	2
228.634	3	15	1058	0	2
234.395	3	16	392	0	2
240.139	3	17	1022	0	2
245.9	3	18	469	0	2
251.645	3	19	252	0	2
257.406	3	20	336	0	2
263.167	3	21	1011	0	2
268.928	3	22	357	0	2
274.689	3	23	370	0	2
280.483	3	24	1006	0	2
286.228	3	25	1031	0	2
291.989	3	26	1005	0	2
297.75	3	27	443	0	2
303.511	3	28	1038	0	2
309.272	3	29	439	0	2
315.033	3	30	313	0	2
320.794	3	31	1049	0	2
326.555	3	32	358	0	2
332.316	3	33	328	0	2
338.077	3	34	258	0	2
343.838	3	35	460	0	2
349.599	3	36	1064	0	2
355.36	3	37	436	0	2
361.121	3	38	332	0	2
366.882	3	39	282	0	2
372.677	3	40	486	0	2
378.438	3	41	417	0	2
384.199	3	42	277	0	2
389.96	3	43	376	0	2
395.704	3	44	492	0	2
401.465	3	45	426	0	2
407.226	3	46	382	0	2
413.021	3	47	360	0	2
418.782	3	48	1092	0	2
424.576	3	49	300	0	2
430.354	3	50	1090	0	2
436.115	3	51	1012	0	2
441.876	3	52	500	0	2
447.637	3	53	433	0	2
453.431	3	54	1099	1	1
460.428	3	55	1045	1	1
469.312	3	56	265	0	2
475.073	3	57	444	0	2
480.867	3	58	309	0	2
486.628	3	59	1056	1	1
493.942	3	60	485	1	0
501.24	3	61	1084	1	0
508.604	3	62	391	0	2
514.365	3	63	373	0	2
520.109	3	64	442	0	2
525.904	3	65	441	0	2
531.698	3	66	1029	0	2
