onset	duration	trial_num	stim_id	is_task	correct
38.885	3	1	732	0	2
44.629	3	2	1075	0	2
50.39	3	3	536	0	2
56.151	3	4	522	0	2
61.929	3	5	1027	0	2
67.673	3	6	520	0	2
73.451	3	7	1064	0	2
79.212	3	8	681	0	2
84.973	3	9	677	0	2
90.734	3	10	678	0	2
96.462	3	11	1080	0	2
102.256	3	12	670	0	2
108.017	3	13	1043	0	2
113.762	3	14	694	0	2
119.523	3	15	716	0	2
125.317	3	16	589	1	1
133.767	3	17	650	0	2
139.528	3	18	576	0	2
145.339	3	19	1009	0	2
151.1	3	20	710	0	2
156.894	3	21	1081	0	2
162.639	3	22	518	0	2
168.4	3	23	652	0	2
174.161	3	24	664	0	2
179.922	3	25	619	0	2
185.683	3	26	725	1	1
193.682	3	27	641	0	2
199.459	3	28	512	0	2
205.254	3	29	510	0	2
211.015	3	30	566	0	2
216.776	3	31	1017	0	2
222.52	3	32	544	0	2
228.264	3	33	1005	0	2
234.025	3	34	542	0	2
239.77	3	35	607	0	2
245.531	3	36	517	1	1
252.795	3	37	709	1	1
259.958	3	38	737	0	2
265.719	3	39	605	0	2
271.48	3	40	1054	0	2
277.242	3	41	674	0	2
283.003	3	42	575	0	2
288.764	3	43	521	0	2
294.525	3	44	1034	0	2
300.286	3	45	582	0	2
306.047	3	46	653	0	2
311.808	3	47	748	0	2
317.569	3	48	505	0	2
323.33	3	49	741	0	2
329.091	3	50	1091	0	2
334.852	3	51	1033	0	2
340.613	3	52	656	0	2
346.341	3	53	613	0	2
352.135	3	54	1023	0	2
357.896	3	55	706	1	1
364.826	3	56	750	0	2
370.57	3	57	658	0	2
376.365	3	58	1071	1	1
383.161	3	59	664	0	2
388.922	3	60	517	0	2
394.717	3	61	1099	0	2
400.461	3	62	532	0	2
406.222	3	63	1024	0	2
411.983	3	64	1048	0	2
417.744	3	65	623	0	2
423.505	3	66	1061	0	2
