onset	duration	trial_num	stim_id	is_task	correct
41.341	3	1	1081	0	2
47.102	3	2	12	0	2
52.863	3	3	75	0	2
58.607	3	4	215	0	2
64.352	3	5	245	0	2
70.146	3	6	1044	0	2
75.941	3	7	107	0	2
81.702	3	8	227	1	1
88.715	3	9	177	0	2
94.476	3	10	237	0	2
100.237	3	11	94	0	2
105.998	3	12	157	0	2
111.759	3	13	27	0	2
117.504	3	14	119	0	2
123.265	3	15	1069	0	2
129.059	3	16	1027	1	1
135.972	3	17	233	0	2
141.717	3	18	240	0	2
147.511	3	19	103	0	2
153.272	3	20	126	0	2
159.033	3	21	40	0	2
164.794	3	22	55	0	2
170.555	3	23	112	0	2
176.316	3	24	142	0	2
182.077	3	25	230	0	2
187.822	3	26	207	0	2
193.566	3	27	201	0	2
199.31	3	28	174	0	2
205.088	3	29	66	0	2
210.883	3	30	141	0	2
216.644	3	31	52	0	2
222.405	3	32	102	0	2
228.166	3	33	28	0	2
233.893	3	34	1091	1	1
240.99	3	35	1012	0	2
246.751	3	36	35	0	2
252.546	3	37	1019	0	2
258.34	3	38	205	0	2
264.135	3	39	24	0	2
269.896	3	40	29	0	2
275.657	3	41	165	1	1
283.104	3	42	224	0	2
288.865	3	43	13	0	2
294.626	3	44	30	0	2
300.387	3	45	1041	0	2
306.182	3	46	198	0	2
311.976	3	47	137	0	2
317.737	3	48	1040	0	2
323.532	3	49	22	0	2
329.293	3	50	1031	0	2
335.054	3	51	216	0	2
340.815	3	52	1064	1	1
348.496	3	53	1028	0	2
354.257	3	54	20	0	2
360.018	3	55	1059	0	2
365.779	3	56	161	0	2
371.54	3	57	53	0	2
377.301	3	58	1018	0	2
383.046	3	59	128	0	2
388.807	3	60	4	0	2
394.568	3	61	1055	0	2
400.329	3	62	1058	0	2
406.09	3	63	1024	1	1
413.087	3	64	1067	0	2
418.848	3	65	1009	0	2
424.609	3	66	243	0	2
