onset	duration	trial_num	stim_id	is_task	correct
43.601	3	1	140	0	2
49.345	3	2	1039	1	1
56.843	3	3	93	0	2
62.604	3	4	1043	0	2
68.348	3	5	1097	0	2
74.109	3	6	1033	0	2
79.87	3	7	182	0	2
85.631	3	8	76	0	2
91.392	3	9	148	0	2
97.153	3	10	1098	0	2
102.898	3	11	1029	0	2
108.642	3	12	234	0	2
114.386	3	13	89	0	2
120.147	3	14	235	0	2
125.942	3	15	117	0	2
131.719	3	16	191	0	2
137.481	3	17	1080	0	2
143.275	3	18	109	0	2
149.019	3	19	1064	0	2
154.78	3	20	162	0	2
160.541	3	21	23	0	2
166.286	3	22	1018	0	2
172.03	3	23	21	0	2
177.791	3	24	245	0	2
183.585	3	25	127	0	2
189.347	3	26	233	0	2
195.091	3	27	113	0	2
200.852	3	28	203	0	2
206.613	3	29	123	0	2
212.357	3	30	67	0	2
218.102	3	31	1013	1	1
225.449	3	32	130	0	2
231.21	3	33	151	0	2
236.971	3	34	37	0	2
242.732	3	35	1032	0	2
248.46	3	36	1003	0	2
254.221	3	37	114	0	2
259.965	3	38	35	0	2
265.76	3	39	57	0	2
271.504	3	40	55	0	2
277.298	3	41	14	1	0
284.963	3	42	201	1	0
292.678	3	43	178	0	2
298.456	3	44	24	0	2
304.2	3	45	1005	0	2
309.944	3	46	146	0	2
315.705	3	47	51	0	2
321.466	3	48	79	0	2
327.227	3	49	190	0	2
333.022	3	50	197	0	2
338.783	3	51	136	0	2
344.527	3	52	1016	0	2
350.305	3	53	1062	0	2
356.099	3	54	1004	0	2
361.86	3	55	159	0	2
367.621	3	56	177	0	2
373.366	3	57	1095	1	1
380.63	3	58	1050	0	2
386.424	3	59	1015	1	1
393.655	3	60	1075	0	2
399.416	3	61	43	0	2
405.21	3	62	211	0	2
410.954	3	63	229	0	2
416.749	3	64	160	0	2
422.543	3	65	116	0	2
428.338	3	66	1038	0	2
