onset	duration	trial_num	stim_id	is_task	correct
30.85	3	1	1003	0	2
36.611	3	2	466	0	2
42.372	3	3	322	0	2
48.133	3	4	270	1	1
55.547	3	5	1033	0	2
61.308	3	6	361	0	2
67.069	3	7	354	0	2
72.83	3	8	1048	0	2
78.591	3	9	1065	0	2
84.352	3	10	397	0	2
90.147	3	11	469	0	2
95.908	3	12	1056	0	2
101.652	3	13	321	0	2
107.413	3	14	317	0	2
113.174	3	15	293	0	2
118.935	3	16	1046	0	2
124.68	3	17	494	0	2
130.441	3	18	356	0	2
136.235	3	19	1082	1	1
143.249	3	20	1047	0	2
148.993	3	21	330	0	2
154.754	3	22	1021	0	2
160.515	3	23	1019	0	2
166.309	3	24	440	0	2
172.104	3	25	1066	0	2
177.898	3	26	366	0	2
183.659	3	27	390	0	2
189.42	3	28	493	0	2
195.181	3	29	379	0	2
200.976	3	30	1030	0	2
206.77	3	31	432	0	2
212.531	3	32	392	0	2
218.276	3	33	443	0	2
224.037	3	34	1060	0	2
229.798	3	35	489	0	2
235.559	3	36	1023	0	2
241.32	3	37	297	0	2
247.081	3	38	1037	0	2
252.842	3	39	301	1	1
260.874	3	40	280	0	2
266.602	3	41	1026	0	2
272.363	3	42	380	0	2
278.157	3	43	274	0	2
283.918	3	44	363	0	2
289.679	3	45	1043	0	2
295.424	3	46	1020	0	2
301.185	3	47	398	0	2
306.946	3	48	376	0	2
312.707	3	49	453	0	2
318.451	3	50	411	0	2
324.245	3	51	424	0	2
330.04	3	52	346	1	1
337.922	3	53	1063	0	2
343.683	3	54	1013	1	1
351.665	3	55	357	1	0
359.53	3	56	448	0	2
365.291	3	57	436	0	2
371.035	3	58	444	0	2
376.83	3	59	367	0	2
382.59	3	60	467	0	2
388.352	3	61	334	0	2
394.113	3	62	425	0	2
399.907	3	63	1072	0	2
405.668	3	64	1073	0	2
411.429	3	65	381	0	2
417.19	3	66	420	0	2
