onset	duration	trial_num	stim_id	is_task	correct
43.112	3	1	1050	0	2
48.873	3	2	947	0	2
54.634	3	3	1072	0	2
60.395	3	4	991	0	2
66.156	3	5	782	0	2
71.917	3	6	919	0	2
77.678	3	7	984	0	2
83.472	3	8	959	0	2
89.233	3	9	909	0	2
94.994	3	10	1002	0	2
100.789	3	11	1007	1	1
108.353	3	12	761	0	2
114.131	3	13	928	0	2
119.875	3	14	833	0	2
125.636	3	15	927	0	2
131.381	3	16	858	0	2
137.142	3	17	823	0	2
142.903	3	18	1093	0	2
148.664	3	19	764	0	2
154.425	3	20	899	0	2
160.186	3	21	926	0	2
165.947	3	22	1027	0	2
171.708	3	23	836	0	2
177.436	3	24	1074	0	2
183.23	3	25	789	0	2
189.025	3	26	950	0	2
194.786	3	27	1046	0	2
200.547	3	28	1064	0	2
206.308	3	29	885	0	2
212.052	3	30	986	0	2
217.813	3	31	936	0	2
223.557	3	32	920	0	2
229.318	3	33	1018	0	2
235.063	3	34	1052	0	2
240.807	3	35	772	0	2
246.602	3	36	1065	0	2
252.379	3	37	993	0	2
258.14	3	38	816	0	2
263.918	3	39	961	0	2
269.679	3	40	958	1	1
279.899	3	41	753	0	2
285.66	3	42	1000	0	2
291.454	3	43	971	0	2
297.215	3	44	872	0	2
303.01	3	45	1097	0	2
308.754	3	46	905	1	1
316.502	3	47	780	0	2
322.263	3	48	1100	0	2
328.024	3	49	1031	0	2
333.785	3	50	982	0	2
339.58	3	51	1088	0	2
345.374	3	52	767	0	2
351.135	3	53	1098	0	2
356.896	3	54	818	1	0
365.379	3	55	825	0	2
371.123	3	56	944	0	2
376.885	3	57	968	0	2
382.662	3	58	1026	1	1
390.076	3	59	861	1	1
397.541	3	60	851	0	2
403.335	3	61	1010	0	2
409.096	3	62	988	0	2
414.891	3	63	973	0	2
420.652	3	64	857	0	2
426.446	3	65	948	0	2
432.207	3	66	808	0	2
