onset	duration	trial_num	stim_id	is_task	correct
54.118	3	1	1096	0	2
59.879	3	2	385	0	2
65.64	3	3	494	0	2
71.418	3	4	1034	0	2
77.179	3	5	1076	0	2
82.957	3	6	291	0	2
88.718	3	7	1051	1	1
95.732	3	8	303	0	2
101.492	3	9	1035	0	2
107.27	3	10	456	0	2
113.014	3	11	1084	1	1
119.978	3	12	362	0	2
125.739	3	13	433	0	2
131.533	3	14	466	0	2
137.294	3	15	272	0	2
143.039	3	16	420	0	2
148.833	3	17	448	0	2
154.594	3	18	1037	0	2
160.355	3	19	489	0	2
166.116	3	20	368	0	2
171.911	3	21	1069	0	2
177.705	3	22	398	0	2
183.466	3	23	1004	0	2
189.227	3	24	457	0	2
194.988	3	25	487	1	1
202.018	3	26	275	0	2
207.779	3	27	327	0	2
213.54	3	28	369	0	2
219.285	3	29	483	0	2
225.012	3	30	1041	0	2
230.824	3	31	1018	0	2
236.568	3	32	1025	0	2
242.329	3	33	343	0	2
248.057	3	34	1057	0	2
253.784	3	35	347	1	1
260.814	3	36	421	0	2
266.609	3	37	452	0	2
272.353	3	38	1094	0	2
278.097	3	39	382	0	2
283.892	3	40	442	0	2
289.686	3	41	498	0	2
295.447	3	42	1045	0	2
301.208	3	43	312	0	2
306.97	3	44	1074	0	2
312.764	3	45	318	0	2
318.542	3	46	406	0	2
324.286	3	47	433	0	2
330.081	3	48	1058	1	1
337.328	3	49	1038	0	2
343.072	3	50	382	0	2
348.866	3	51	280	0	2
354.594	3	52	407	0	2
360.389	3	53	445	0	2
366.133	3	54	492	0	2
371.894	3	55	339	0	2
377.655	3	56	296	0	2
383.416	3	57	308	0	2
389.177	3	58	441	1	1
396.074	3	59	414	0	2
401.868	3	60	1023	0	2
407.629	3	61	428	0	2
413.423	3	62	462	0	2
419.185	3	63	282	0	2
424.979	3	64	482	0	2
430.74	3	65	446	0	2
436.501	3	66	295	0	2
