onset	duration	trial_num	stim_id	is_task	correct
11.601	3	1	1036	0	2
17.395	3	2	153	0	2
23.156	3	3	215	0	2
28.9	3	4	234	0	2
34.645	3	5	250	0	2
40.406	3	6	150	0	2
46.167	3	7	80	0	2
51.911	3	8	195	0	2
57.706	3	9	26	0	2
63.483	3	10	82	0	2
69.244	3	11	106	0	2
75.006	3	12	248	0	2
80.767	3	13	1095	0	2
86.528	3	14	1012	0	2
92.289	3	15	228	0	2
98.083	3	16	214	0	2
103.827	3	17	128	0	2
109.622	3	18	1015	0	2
115.383	3	19	245	0	2
121.177	3	20	1013	0	2
126.955	3	21	77	0	2
132.716	3	22	1063	0	2
138.477	3	23	1057	0	2
144.205	3	24	1068	0	2
149.932	3	25	191	0	2
155.693	3	26	1077	0	2
161.438	3	27	139	0	2
167.199	3	28	218	0	2
172.96	3	29	1094	0	2
178.738	3	30	1016	0	2
184.532	3	31	35	1	1
191.662	3	32	144	0	2
197.423	3	33	3	0	2
203.184	3	34	109	0	2
208.946	3	35	1033	0	2
214.707	3	36	244	0	2
220.468	3	37	246	0	2
226.229	3	38	187	0	2
232.006	3	39	237	0	2
237.751	3	40	213	0	2
243.478	3	41	127	0	2
249.24	3	42	20	0	2
255.0	3	43	66	1	1
262.582	3	44	177	0	2
268.359	3	45	125	0	2
274.12	3	46	1019	0	2
279.915	3	47	18	0	2
285.709	3	48	1065	0	2
291.47	3	49	1021	0	2
297.231	3	50	78	0	2
302.992	3	51	47	1	1
310.691	3	52	14	0	2
316.452	3	53	140	0	2
322.213	3	54	1064	0	2
327.974	3	55	22	0	2
333.735	3	56	50	1	1
341.015	3	57	60	0	2
346.793	3	58	175	0	2
352.587	3	59	143	0	2
358.382	3	60	200	0	2
364.143	3	61	39	0	2
369.937	3	62	129	1	1
377.886	3	63	1018	0	2
383.63	3	64	179	1	1
391.328	3	65	184	0	2
397.089	3	66	121	0	2
