onset	duration	trial_num	stim_id	is_task	correct
47.916	3	1	979	0	2
53.676	3	2	949	0	2
59.47	3	3	910	1	1
66.3	3	4	1093	0	2
72.078	3	5	957	0	2
77.822	3	6	834	0	2
83.617	3	7	942	1	0
91.565	3	8	829	0	2
97.343	3	9	837	1	1
104.156	3	10	889	0	2
109.917	3	11	927	0	2
115.678	3	12	870	0	2
121.473	3	13	895	0	2
127.267	3	14	1020	0	2
133.078	3	15	963	0	2
138.823	3	16	822	0	2
144.567	3	17	985	0	2
150.361	3	18	1083	1	1
157.425	3	19	819	0	2
163.186	3	20	765	0	2
168.964	3	21	962	0	2
174.725	3	22	807	0	2
180.486	3	23	1053	0	2
186.247	3	24	969	0	2
192.041	3	25	928	0	2
197.802	3	26	999	0	2
203.597	3	27	1046	0	2
209.358	3	28	1024	0	2
215.135	3	29	952	0	2
220.93	3	30	905	0	2
226.691	3	31	1014	0	2
232.452	3	32	1012	0	2
238.213	3	33	1065	0	2
243.991	3	34	811	0	2
249.752	3	35	806	0	2
255.513	3	36	892	0	2
261.274	3	37	907	0	2
267.068	3	38	785	0	2
272.812	3	39	933	0	2
278.59	3	40	1058	0	2
284.351	3	41	1089	0	2
290.112	3	42	1052	1	1
296.959	3	43	1003	0	2
302.72	3	44	1066	0	2
308.514	3	45	758	0	2
314.292	3	46	755	1	1
321.055	3	47	866	0	2
326.816	3	48	880	0	2
332.577	3	49	932	0	2
338.338	3	50	876	0	2
344.132	3	51	1027	0	2
349.893	3	52	793	0	2
355.654	3	53	1043	0	2
361.399	3	54	975	0	2
367.177	3	55	1096	0	2
372.938	3	56	852	0	2
378.699	3	57	1080	0	2
384.493	3	58	970	0	2
390.271	3	59	1069	0	2
396.065	3	60	813	0	2
401.826	3	61	983	0	2
407.637	3	62	1047	0	2
413.398	3	63	913	0	2
419.159	3	64	1035	0	2
424.921	3	65	778	0	2
430.715	3	66	1036	0	2
