onset	duration	trial_num	stim_id	is_task	correct
8.325	3	1	628	0	2
14.086	3	2	595	0	2
19.847	3	3	608	0	2
25.608	3	4	1101	0	2
31.453	3	5	660	0	2
37.214	3	6	1029	0	2
42.975	3	7	693	0	2
48.769	3	8	1056	0	2
54.53	3	9	1084	0	2
60.291	3	10	1099	0	2
66.036	3	11	573	0	2
71.797	3	12	1051	1	1
80.346	3	13	658	0	2
86.141	3	14	503	0	2
91.902	3	15	736	0	2
97.68	3	16	1031	0	2
103.457	3	17	703	0	2
109.218	3	18	732	0	2
114.963	3	19	1077	0	2
120.724	3	20	731	0	2
126.485	3	21	1074	0	2
132.279	3	22	1064	0	2
138.04	3	23	576	0	2
143.835	3	24	574	0	2
149.612	3	25	672	0	2
155.373	3	26	633	0	2
161.168	3	27	553	0	2
166.929	3	28	1050	0	2
172.69	3	29	741	0	2
178.451	3	30	530	0	2
184.212	3	31	708	0	2
189.973	3	32	663	0	2
195.751	3	33	1007	0	2
201.512	3	34	1046	0	2
207.273	3	35	728	1	0
215.839	3	36	558	0	2
221.584	3	37	569	0	2
227.328	3	38	531	0	2
233.089	3	39	1080	1	1
241.221	3	40	592	0	2
246.949	3	41	680	0	2
252.71	3	42	1053	0	2
258.471	3	43	1033	0	2
264.232	3	44	1042	0	2
270.026	3	45	1093	0	2
275.787	3	46	577	0	2
281.549	3	47	661	1	1
290.733	3	48	697	0	2
296.46	3	49	714	0	2
302.221	3	50	509	0	2
307.999	3	51	690	0	2
313.76	3	52	625	0	2
319.521	3	53	709	0	2
325.266	3	54	1030	0	2
331.06	3	55	681	0	2
336.804	3	56	1047	0	2
342.565	3	57	539	0	2
348.327	3	58	512	0	2
354.121	3	59	1076	0	2
359.915	3	60	1014	0	2
365.693	3	61	645	0	2
371.454	3	62	1100	1	1
380.137	3	63	1037	0	2
385.898	3	64	723	0	2
391.693	3	65	689	1	1
400.71	3	66	1092	0	2
