onset	duration	trial_num	stim_id	is_task	correct
44.682	3	1	572	0	2
50.426	3	2	654	0	2
56.187	3	3	550	0	2
61.948	3	4	1023	0	2
67.709	3	5	577	0	2
73.47	3	6	1071	0	2
79.231	3	7	1043	0	2
84.976	3	8	1036	1	1
91.822	3	9	592	0	2
97.55	3	10	1025	1	1
104.313	3	11	1018	0	2
110.057	3	12	721	0	2
115.851	3	13	619	0	2
121.629	3	14	503	0	2
127.373	3	15	736	0	2
133.134	3	16	595	0	2
138.896	3	17	1074	1	1
145.642	3	18	1011	0	2
151.403	3	19	668	0	2
157.147	3	20	1003	0	2
162.908	3	21	555	0	2
168.653	3	22	547	0	2
174.414	3	23	630	0	2
180.175	3	24	1010	0	2
185.936	3	25	693	0	2
191.747	3	26	1028	0	2
197.508	3	27	702	0	2
203.286	3	28	629	0	2
209.047	3	29	655	0	2
214.791	3	30	615	0	2
220.535	3	31	1008	0	2
226.28	3	32	744	1	1
233.076	3	33	735	0	2
238.87	3	34	567	0	2
244.648	3	35	601	0	2
250.409	3	36	514	0	2
256.237	3	37	611	0	2
261.998	3	38	646	0	2
267.776	3	39	691	0	2
273.537	3	40	541	0	2
279.298	3	41	722	0	2
285.059	3	42	584	0	2
290.82	3	43	1059	0	2
296.581	3	44	1096	0	2
302.342	3	45	749	0	2
308.136	3	46	720	0	2
313.881	3	47	1034	0	2
319.642	3	48	708	0	2
325.386	3	49	532	1	1
332.166	3	50	654	0	2
337.927	3	51	564	0	2
343.688	3	52	535	0	2
349.449	3	53	617	0	2
355.21	3	54	526	0	2
360.971	3	55	666	0	2
366.732	3	56	659	0	2
372.476	3	57	670	0	2
378.237	3	58	667	0	2
384.032	3	59	1058	0	2
389.793	3	60	728	0	2
395.554	3	61	550	0	2
401.315	3	62	689	0	2
407.076	3	63	527	1	1
414.807	3	64	1052	0	2
420.568	3	65	1026	0	2
426.33	3	66	1037	0	2
