onset	duration	trial_num	stim_id	is_task	correct
47.24	3	1	98	0	2
53.035	3	2	1076	0	2
58.812	3	3	82	0	2
64.573	3	4	1009	0	2
70.334	3	5	1021	0	2
76.096	3	6	133	0	2
81.856	3	7	1072	0	2
87.618	3	8	29	0	2
93.379	3	9	93	0	2
99.14	3	10	241	0	2
104.934	3	11	1015	0	2
110.695	3	12	94	0	2
116.456	3	13	1037	0	2
122.217	3	14	187	0	2
127.978	3	15	210	0	2
133.806	3	16	189	0	2
139.567	3	17	124	0	2
145.328	3	18	195	0	2
151.106	3	19	130	0	2
156.867	3	20	108	0	2
162.628	3	21	1038	0	2
168.389	3	22	92	0	2
174.15	3	23	1089	0	2
179.911	3	24	50	0	2
185.672	3	25	1033	0	2
191.416	3	26	248	0	2
197.177	3	27	1011	0	2
202.938	3	28	1092	0	2
208.733	3	29	1027	0	2
214.494	3	30	227	0	2
220.255	3	31	217	0	2
226.033	3	32	112	1	1
233.781	3	33	1023	0	2
239.542	3	34	65	0	2
245.303	3	35	30	0	2
251.064	3	36	237	0	2
256.825	3	37	185	0	2
262.586	3	38	166	1	1
269.6	3	39	179	0	2
275.394	3	40	1088	0	2
281.188	3	41	1068	0	2
286.916	3	42	233	0	2
292.677	3	43	205	1	1
299.774	3	44	159	1	1
307.005	3	45	20	0	2
312.766	3	46	135	0	2
318.56	3	47	178	0	2
324.354	3	48	1054	0	2
330.099	3	49	1020	0	2
335.86	3	50	161	0	2
341.621	3	51	57	1	1
349.135	3	52	113	0	2
354.896	3	53	193	0	2
360.657	3	54	238	0	2
366.418	3	55	155	0	2
372.179	3	56	199	0	2
377.94	3	57	97	0	2
383.701	3	58	63	0	2
389.529	3	59	123	0	2
395.274	3	60	1102	0	2
401.068	3	61	48	0	2
406.829	3	62	1062	0	2
412.624	3	63	16	0	2
418.418	3	64	151	0	2
424.179	3	65	1026	1	1
431.359	3	66	1069	0	2
