onset	duration	trial_num	stim_id	is_task	correct
180.446	3	1	363	0	2
186.208	3	2	1064	1	1
193.572	3	3	290	0	2
199.299	3	4	1042	0	2
205.094	3	5	375	0	2
210.855	3	6	1006	0	2
216.599	3	7	430	0	2
222.393	3	8	297	1	1
229.407	3	9	1076	0	2
235.201	3	10	433	0	2
240.996	3	11	1021	0	2
246.757	3	12	370	0	2
252.535	3	13	364	0	2
258.296	3	14	256	1	1
265.643	3	15	1061	0	2
271.437	3	16	1011	0	2
277.198	3	17	461	0	2
282.943	3	18	311	0	2
288.704	3	19	415	0	2
294.465	3	20	305	0	2
300.243	3	21	1062	0	2
306.02	3	22	296	0	2
311.781	3	23	371	0	2
317.542	3	24	320	0	2
323.303	3	25	365	0	2
329.081	3	26	450	0	2
334.876	3	27	398	0	2
340.637	3	28	312	0	2
346.414	3	29	1040	0	2
352.209	3	30	273	0	2
357.986	3	31	1016	0	2
363.781	3	32	474	0	2
369.542	3	33	269	0	2
375.303	3	34	254	0	2
381.064	3	35	323	0	2
386.808	3	36	278	0	2
392.619	3	37	356	0	2
398.414	3	38	299	0	2
404.175	3	39	310	0	2
409.936	3	40	496	0	2
415.697	3	41	1068	0	2
421.425	3	42	429	0	2
427.186	3	43	1100	0	2
432.947	3	44	342	1	1
439.81	3	45	349	0	2
445.587	3	46	265	1	1
453.72	3	47	410	0	2
459.481	3	48	324	0	2
465.275	3	49	1080	0	2
471.07	3	50	454	0	2
476.831	3	51	303	0	2
482.592	3	52	1026	0	2
488.353	3	53	386	0	2
494.147	3	54	315	0	2
499.908	3	55	494	1	1
507.055	3	56	394	0	2
512.85	3	57	1057	0	2
518.577	3	58	424	0	2
524.372	3	59	417	0	2
530.133	3	60	1065	0	2
535.894	3	61	261	0	2
541.655	3	62	1082	0	2
547.416	3	63	441	0	2
553.21	3	64	288	0	2
558.971	3	65	485	0	2
564.732	3	66	1005	0	2
