onset	duration	trial_num	stim_id	is_task	correct
113.062	3	1	965	0	2
118.79	3	2	761	0	2
124.551	3	3	974	0	2
130.345	3	4	942	0	2
136.073	3	5	1016	0	2
141.867	3	6	861	0	2
147.662	3	7	960	1	1
154.525	3	8	830	0	2
160.286	3	9	1011	0	2
166.047	3	10	844	0	2
171.808	3	11	889	0	2
177.586	3	12	922	0	2
183.33	3	13	957	0	2
189.074	3	14	753	0	2
194.835	3	15	1041	0	2
200.63	3	16	1004	0	2
206.391	3	17	907	1	1
213.337	3	18	775	0	2
219.098	3	19	862	1	1
225.945	3	20	841	0	2
231.706	3	21	955	0	2
237.467	3	22	894	0	2
243.228	3	23	952	0	2
249.023	3	24	820	1	1
256.37	3	25	949	0	2
262.164	3	26	1028	0	2
267.925	3	27	771	0	2
273.686	3	28	807	0	2
279.447	3	29	999	0	2
285.242	3	30	1079	0	2
291.003	3	31	1025	0	2
296.764	3	32	824	0	2
302.558	3	33	828	0	2
308.319	3	34	1019	0	2
314.114	3	35	1082	1	1
321.444	3	36	1055	0	2
327.206	3	37	803	0	2
332.967	3	38	927	0	2
338.711	3	39	900	0	2
344.472	3	40	1088	0	2
350.266	3	41	1058	0	2
356.027	3	42	1078	0	2
361.788	3	43	959	0	2
367.549	3	44	1083	0	2
373.344	3	45	972	0	2
379.105	3	46	997	0	2
384.866	3	47	1048	0	2
390.627	3	48	1033	0	2
396.388	3	49	1052	1	1
403.268	3	50	1003	0	2
409.012	3	51	811	0	2
414.773	3	52	827	0	2
420.534	3	53	953	0	2
426.295	3	54	1013	0	2
432.073	3	55	829	0	2
437.834	3	56	989	0	2
443.562	3	57	867	0	2
449.356	3	58	978	0	2
455.134	3	59	796	0	2
460.928	3	60	823	0	2
466.689	3	61	852	0	2
472.45	3	62	825	0	2
478.211	3	63	951	0	2
484.006	3	64	752	0	2
489.767	3	65	1093	0	2
495.528	3	66	905	0	2
