onset	duration	trial_num	stim_id	is_task	correct
34.962	3	1	322	0	2
40.723	3	2	1074	0	2
46.517	3	3	387	0	2
52.312	3	4	1060	0	2
58.056	3	5	494	1	1
65.203	3	6	1048	0	2
70.964	3	7	295	0	2
76.725	3	8	283	0	2
82.486	3	9	1027	0	2
88.247	3	10	341	0	2
94.042	3	11	499	0	2
99.803	3	12	1051	0	2
105.564	3	13	444	0	2
111.358	3	14	281	0	2
117.086	3	15	276	0	2
122.847	3	16	272	0	2
128.591	3	17	344	0	2
134.352	3	18	317	1	1
141.816	3	19	378	0	2
147.561	3	20	1057	0	2
153.288	3	21	1029	0	2
159.049	3	22	347	0	2
164.827	3	23	1078	0	2
170.588	3	24	1032	0	2
176.316	3	25	490	0	2
182.077	3	26	443	0	2
187.821	3	27	471	0	2
193.582	3	28	312	0	2
199.343	3	29	436	0	2
205.104	3	30	379	0	2
210.899	3	31	478	0	2
216.66	3	32	1038	0	2
222.421	3	33	461	0	2
228.182	3	34	467	0	2
233.943	3	35	1018	0	2
239.687	3	36	446	1	1
247.185	3	37	364	0	2
252.946	3	38	479	0	2
258.69	3	39	451	0	2
264.451	3	40	406	0	2
270.196	3	41	1008	0	2
275.957	3	42	375	0	2
281.718	3	43	360	0	2
287.462	3	44	300	0	2
293.24	3	45	431	0	2
299.034	3	46	264	0	2
304.795	3	47	334	0	2
310.556	3	48	439	1	1
318.572	3	49	1101	0	2
324.366	3	50	1035	0	2
330.127	3	51	1001	0	2
335.888	3	52	319	0	2
341.649	3	53	262	1	1
348.813	3	54	1041	0	2
354.607	3	55	260	0	2
360.368	3	56	458	0	2
366.113	3	57	483	0	2
371.84	3	58	474	0	2
377.601	3	59	350	1	1
385.032	3	60	325	0	2
390.777	3	61	372	0	2
396.571	3	62	1046	0	2
402.315	3	63	1023	0	2
408.077	3	64	1033	0	2
413.838	3	65	400	0	2
419.632	3	66	464	0	2
