onset	duration	trial_num	stim_id	is_task	correct
27.088	3	1	672	0	2
32.832	3	2	1021	0	2
38.593	3	3	1057	0	2
44.321	3	4	740	0	2
50.082	3	5	573	0	2
55.843	3	6	706	0	2
61.604	3	7	630	0	2
67.382	3	8	567	0	2
73.142	3	9	543	0	2
78.903	3	10	694	1	1
87.353	3	11	1077	0	2
93.114	3	12	619	0	2
98.875	3	13	1088	1	1
105.738	3	14	552	0	2
111.533	3	15	710	0	2
117.327	3	16	1003	0	2
123.088	3	17	561	0	2
128.849	3	18	1067	0	2
134.61	3	19	1042	0	2
140.405	3	20	727	1	1
147.067	3	21	692	0	2
152.828	3	22	714	0	2
158.589	3	23	584	0	2
164.351	3	24	1043	0	2
170.095	3	25	1098	0	2
175.856	3	26	618	0	2
181.617	3	27	530	0	2
187.395	3	28	534	0	2
193.156	3	29	729	0	2
198.933	3	30	651	0	2
204.694	3	31	1005	0	2
210.455	3	32	563	0	2
216.217	3	33	575	0	2
221.978	3	34	577	0	2
227.739	3	35	1075	0	2
233.5	3	36	1012	0	2
239.261	3	37	1080	0	2
245.055	3	38	733	0	2
250.833	3	39	533	0	2
256.594	3	40	614	0	2
262.355	3	41	606	0	2
268.116	3	42	1031	0	2
273.877	3	43	557	0	2
279.655	3	44	532	0	2
285.416	3	45	1036	0	2
291.227	3	46	1078	0	2
296.988	3	47	542	0	2
302.749	3	48	687	1	1
309.529	3	49	685	0	2
315.29	3	50	520	0	2
321.084	3	51	747	1	1
328.081	3	52	569	0	2
333.825	3	53	717	0	2
339.62	3	54	516	0	2
345.414	3	55	1056	1	0
352.177	3	56	646	0	2
357.938	3	57	559	0	2
363.699	3	58	735	0	2
369.477	3	59	682	0	2
375.271	3	60	539	0	2
381.016	3	61	1069	0	2
386.81	3	62	1074	0	2
392.604	3	63	607	0	2
398.365	3	64	677	0	2
404.126	3	65	624	0	2
409.887	3	66	741	0	2
