onset	duration	trial_num	stim_id	is_task	correct
41.847	3	1	595	0	2
47.642	3	2	516	0	2
53.436	3	3	1006	0	2
59.181	3	4	688	0	2
64.942	3	5	564	0	2
70.703	3	6	632	0	2
76.43	3	7	698	0	2
82.191	3	8	575	0	2
87.936	3	9	592	0	2
93.663	3	10	737	0	2
99.424	3	11	640	0	2
105.185	3	12	1065	0	2
110.946	3	13	710	1	0
117.926	3	14	603	0	2
123.687	3	15	1041	0	2
129.482	3	16	573	0	2
135.226	3	17	527	0	2
141.004	3	18	548	0	2
146.732	3	19	653	0	2
152.493	3	20	634	1	0
159.205	3	21	666	0	2
164.983	3	22	1033	0	2
170.778	3	23	718	0	2
176.539	3	24	1024	0	2
182.316	3	25	683	0	2
188.111	3	26	567	0	2
193.872	3	27	1040	0	2
199.666	3	28	1044	1	0
206.513	3	29	699	0	2
212.274	3	30	1037	0	2
218.035	3	31	1066	0	2
223.829	3	32	648	0	2
229.59	3	33	639	0	2
235.351	3	34	517	0	2
241.129	3	35	1039	0	2
246.94	3	36	642	0	2
252.701	3	37	730	0	2
258.462	3	38	742	0	2
264.223	3	39	532	0	2
269.984	3	40	1055	0	2
275.745	3	41	587	0	2
281.49	3	42	717	0	2
287.251	3	43	1059	0	2
293.028	3	44	655	0	2
298.773	3	45	725	0	2
304.534	3	46	1013	0	2
310.295	3	47	719	0	2
316.056	3	48	599	0	2
321.8	3	49	536	0	2
327.578	3	50	1046	0	2
333.339	3	51	681	1	0
343.091	3	52	1008	1	1
349.904	3	53	1012	0	2
355.665	3	54	628	1	1
363.23	3	55	1092	0	2
369.024	3	56	555	0	2
374.818	3	57	743	0	2
380.58	3	58	659	0	2
386.341	3	59	1062	0	2
392.135	3	60	1021	0	2
397.896	3	61	657	0	2
403.674	3	62	691	0	2
409.435	3	63	729	0	2
415.229	3	64	1071	0	2
420.99	3	65	602	0	2
426.751	3	66	631	0	2
