onset	duration	trial_num	stim_id	is_task	correct
43.7	3	1	453	0	2
49.461	3	2	1037	0	2
55.222	3	3	1010	0	2
60.983	3	4	341	0	2
66.777	3	5	420	0	2
72.555	3	6	344	0	2
78.316	3	7	256	0	2
84.077	3	8	481	0	2
89.838	3	9	335	0	2
95.582	3	10	339	0	2
101.343	3	11	1074	0	2
107.138	3	12	487	0	2
112.882	3	13	353	0	2
118.643	3	14	1046	0	2
124.404	3	15	496	0	2
130.165	3	16	424	0	2
135.96	3	17	265	0	2
141.721	3	18	382	0	2
147.515	3	19	1019	0	2
153.31	3	20	287	0	2
159.071	3	21	400	0	2
164.865	3	22	1076	0	2
170.66	3	23	321	0	2
176.421	3	24	1088	1	1
184.269	3	25	1050	0	2
190.03	3	26	1047	0	2
195.791	3	27	1055	0	2
201.569	3	28	352	0	2
207.363	3	29	1079	0	2
213.124	3	30	396	1	1
220.205	3	31	1015	0	2
225.966	3	32	432	0	2
231.727	3	33	1089	0	2
237.488	3	34	277	0	2
243.249	3	35	1092	0	2
249.043	3	36	414	0	2
254.838	3	37	1096	0	2
260.599	3	38	491	0	2
266.343	3	39	457	1	1
274.275	3	40	1027	0	2
280.036	3	41	1008	0	2
285.797	3	42	345	0	2
291.558	3	43	1060	0	2
297.319	3	44	437	0	2
303.113	3	45	332	0	2
308.874	3	46	410	0	2
314.635	3	47	336	0	2
320.396	3	48	1013	0	2
326.158	3	49	1011	0	2
331.919	3	50	1097	0	2
337.68	3	51	1080	1	1
344.726	3	52	369	0	2
350.471	3	53	362	0	2
356.215	3	54	1005	0	2
361.976	3	55	442	1	1
369.607	3	56	474	0	2
375.385	3	57	433	0	2
381.18	3	58	370	0	2
386.974	3	59	500	0	2
392.735	3	60	1002	0	2
398.53	3	61	375	0	2
404.291	3	62	351	1	1
411.855	3	63	1081	0	2
417.616	3	64	1038	0	2
423.377	3	65	444	0	2
429.172	3	66	274	0	2
