onset	duration	trial_num	stim_id	is_task	correct
23.838	3	1	1099	0	2
29.583	3	2	1058	0	2
35.344	3	3	1038	0	2
41.088	3	4	1079	0	2
46.849	3	5	1097	1	0
54.213	3	6	550	1	1
61.059	3	7	667	0	2
66.854	3	8	543	0	2
72.615	3	9	588	1	1
79.729	3	10	726	0	2
85.473	3	11	643	0	2
91.217	3	12	656	0	2
96.945	3	13	603	0	2
102.689	3	14	562	0	2
108.434	3	15	532	0	2
114.178	3	16	1046	0	2
119.956	3	17	611	0	2
125.717	3	18	621	0	2
131.511	3	19	521	0	2
137.256	3	20	1024	0	2
143.0	3	21	658	0	2
148.794	3	22	604	0	2
154.555	3	23	1012	0	2
160.3	3	24	522	0	2
166.061	3	25	1068	0	2
171.788	3	26	561	0	2
177.549	3	27	1089	0	2
183.31	3	28	1031	0	2
189.072	3	29	709	1	1
196.052	3	30	723	0	2
201.846	3	31	528	0	2
207.674	3	32	718	0	2
213.435	3	33	728	0	2
219.179	3	34	1007	1	1
225.925	3	35	563	0	2
231.687	3	36	1092	0	2
237.464	3	37	1094	0	2
243.209	3	38	701	0	2
248.953	3	39	568	0	2
254.697	3	40	1016	0	2
260.475	3	41	574	1	1
267.472	3	42	527	0	2
273.216	3	43	653	0	2
278.977	3	44	1087	0	2
284.755	3	45	732	0	2
290.499	3	46	1026	0	2
296.26	3	47	578	0	2
302.005	3	48	530	0	2
307.749	3	49	616	0	2
313.493	3	50	1047	0	2
319.254	3	51	722	0	2
324.999	3	52	659	0	2
330.743	3	53	731	0	2
336.487	3	54	1100	0	2
342.248	3	55	1039	0	2
348.043	3	56	1082	0	2
353.804	3	57	545	0	2
359.582	3	58	1033	0	2
365.343	3	59	584	0	2
371.104	3	60	634	0	2
376.865	3	61	614	0	2
382.626	3	62	744	0	2
388.387	3	63	663	0	2
394.164	3	64	1051	0	2
399.926	3	65	670	0	2
405.687	3	66	707	0	2
