onset	duration	trial_num	stim_id	is_task	correct
44.718	3	1	529	0	2
50.479	3	2	1052	0	2
56.24	3	3	745	0	2
62.002	3	4	730	0	2
67.763	3	5	546	0	2
73.54	3	6	653	0	2
79.335	3	7	533	0	2
85.096	3	8	1048	0	2
90.857	3	9	645	0	2
96.634	3	10	1019	0	2
102.429	3	11	604	0	2
108.19	3	12	581	0	2
113.984	3	13	735	0	2
119.745	3	14	691	0	2
125.506	3	15	669	0	2
131.267	3	16	1014	0	2
137.029	3	17	542	0	2
142.773	3	18	1074	0	2
148.567	3	19	1044	0	2
154.362	3	20	1003	0	2
160.123	3	21	610	0	2
165.884	3	22	635	0	2
171.645	3	23	634	0	2
177.406	3	24	623	0	2
183.167	3	25	1033	1	1
190.331	3	26	1051	1	1
197.261	3	27	583	0	2
203.005	3	28	692	0	2
208.766	3	29	535	0	2
214.527	3	30	549	0	2
220.288	3	31	566	0	2
226.049	3	32	540	0	2
231.81	3	33	714	1	1
238.873	3	34	1046	0	2
244.651	3	35	670	0	2
250.396	3	36	607	0	2
256.157	3	37	1016	0	2
261.951	3	38	570	0	2
267.712	3	39	1089	1	0
275.393	3	40	616	0	2
281.154	3	41	648	0	2
286.915	3	42	741	0	2
292.677	3	43	740	0	2
298.454	3	44	1023	0	2
304.215	3	45	507	0	2
309.96	3	46	1009	0	2
315.721	3	47	708	1	1
322.751	3	48	614	0	2
328.512	3	49	719	0	2
334.273	3	50	1064	0	2
340.034	3	51	1076	0	2
345.812	3	52	555	0	2
351.573	3	53	621	0	2
357.367	3	54	1078	0	2
363.128	3	55	702	0	2
368.889	3	56	574	0	2
374.65	3	57	602	1	1
381.38	3	58	1097	0	2
387.141	3	59	677	0	2
392.918	3	60	612	0	2
398.679	3	61	746	0	2
404.457	3	62	736	0	2
410.218	3	63	1091	0	2
415.979	3	64	531	0	2
421.74	3	65	654	0	2
427.535	3	66	567	0	2
