onset	duration	trial_num	stim_id	is_task	correct
25.414	3	1	373	0	2
31.141	3	2	379	1	1
38.105	3	3	356	0	2
43.882	3	4	404	0	2
49.677	3	5	253	0	2
55.438	3	6	362	0	2
61.199	3	7	495	0	2
66.96	3	8	1029	1	1
74.007	3	9	273	0	2
79.784	3	10	1090	0	2
85.545	3	11	391	0	2
91.306	3	12	301	0	2
97.101	3	13	424	0	2
102.895	3	14	463	0	2
108.656	3	15	445	0	2
114.401	3	16	340	0	2
120.162	3	17	1034	0	2
125.923	3	18	1051	0	2
131.684	3	19	431	0	2
137.478	3	20	1085	0	2
143.239	3	21	389	0	2
149.0	3	22	1068	0	2
154.728	3	23	259	0	2
160.489	3	24	440	0	2
166.283	3	25	1039	0	2
172.078	3	26	327	0	2
177.839	3	27	467	0	2
183.6	3	28	437	0	2
189.394	3	29	493	1	1
196.558	3	30	352	0	2
202.336	3	31	1095	0	2
208.097	3	32	272	0	2
213.841	3	33	419	0	2
219.602	3	34	1021	0	2
225.363	3	35	1080	0	2
231.158	3	36	1074	0	2
236.952	3	37	454	0	2
242.713	3	38	402	0	2
248.474	3	39	1011	1	0
255.805	3	40	316	0	2
261.599	3	41	307	0	2
267.344	3	42	397	1	0
274.591	3	43	492	0	2
280.352	3	44	372	0	2
286.146	3	45	355	0	2
291.891	3	46	1033	0	2
297.652	3	47	304	0	2
303.413	3	48	486	0	2
309.174	3	49	1018	0	2
314.935	3	50	317	0	2
320.696	3	51	275	0	2
326.457	3	52	1047	0	2
332.218	3	53	346	1	1
338.964	3	54	450	0	2
344.759	3	55	369	0	2
350.503	3	56	1071	0	2
356.264	3	57	421	0	2
362.058	3	58	376	0	2
367.82	3	59	302	0	2
373.581	3	60	441	0	2
379.375	3	61	1076	0	2
385.169	3	62	393	0	2
390.93	3	63	1078	0	2
396.675	3	64	427	0	2
402.469	3	65	1035	0	2
408.23	3	66	477	0	2
