onset	duration	trial_num	stim_id	is_task	correct
36.597	3	1	1007	0	2
42.358	3	2	619	0	2
48.119	3	3	727	0	2
53.897	3	4	660	0	2
59.658	3	5	707	0	2
65.419	3	6	650	0	2
71.163	3	7	664	0	2
76.941	3	8	605	0	2
82.719	3	9	611	0	2
88.48	3	10	1094	0	2
94.241	3	11	1001	0	2
99.985	3	12	685	0	2
105.746	3	13	1036	0	2
111.541	3	14	522	0	2
117.285	3	15	745	0	2
123.046	3	16	1072	0	2
128.807	3	17	636	0	2
134.568	3	18	569	0	2
140.313	3	19	589	0	2
146.074	3	20	689	0	2
151.835	3	21	543	0	2
157.596	3	22	554	0	2
163.373	3	23	1086	0	2
169.168	3	24	1015	0	2
174.929	3	25	1099	0	2
180.673	3	26	686	0	2
186.434	3	27	612	0	2
192.195	3	28	671	0	2
197.956	3	29	1068	1	1
204.736	3	30	574	0	2
210.497	3	31	515	1	1
217.21	3	32	591	0	2
223.021	3	33	626	0	2
228.815	3	34	1067	0	2
234.576	3	35	722	1	1
242.158	3	36	531	0	2
247.919	3	37	678	0	2
253.646	3	38	623	0	2
259.407	3	39	503	0	2
265.168	3	40	1087	0	2
270.963	3	41	1101	0	2
276.757	3	42	1058	0	2
282.518	3	43	568	0	2
288.279	3	44	1005	0	2
294.024	3	45	617	0	2
299.785	3	46	706	0	2
305.546	3	47	665	0	2
311.307	3	48	703	0	2
317.068	3	49	598	0	2
322.829	3	50	654	0	2
328.59	3	51	649	0	2
334.351	3	52	1038	1	1
344.086	3	53	576	0	2
349.881	3	54	704	0	2
355.642	3	55	1054	0	2
361.403	3	56	662	0	2
367.164	3	57	739	1	1
373.993	3	58	502	0	2
379.755	3	59	544	0	2
385.499	3	60	693	1	1
392.345	3	61	1075	0	2
398.106	3	62	572	0	2
403.851	3	63	733	0	2
409.612	3	64	518	0	2
415.373	3	65	1051	0	2
421.134	3	66	521	0	2
