onset	duration	trial_num	stim_id	is_task	correct
11.112	3	1	1033	0	2
16.873	3	2	370	0	2
22.667	3	3	269	0	2
28.428	3	4	464	0	2
34.189	3	5	1055	0	2
39.967	3	6	1080	0	2
45.761	3	7	1017	0	2
51.522	3	8	309	0	2
57.283	3	9	274	0	2
63.044	3	10	1058	0	2
68.822	3	11	1089	0	2
74.583	3	12	490	0	2
80.344	3	13	365	0	2
86.139	3	14	411	0	2
91.933	3	15	499	0	2
97.694	3	16	1099	0	2
103.438	3	17	445	1	1
111.337	3	18	459	0	2
117.098	3	19	336	0	2
122.859	3	20	287	0	2
128.62	3	21	421	0	2
134.414	3	22	316	0	2
140.192	3	23	1059	0	2
145.953	3	24	458	0	2
151.698	3	25	1097	0	2
157.459	3	26	431	0	2
163.253	3	27	1029	0	2
168.997	3	28	343	0	2
174.725	3	29	376	0	2
180.486	3	30	270	0	2
186.247	3	31	486	0	2
192.008	3	32	1031	0	2
197.769	3	33	1042	0	2
203.564	3	34	479	0	2
209.308	3	35	1092	0	2
215.102	3	36	476	0	2
220.863	3	37	1057	0	2
226.591	3	38	1012	0	2
232.352	3	39	427	0	2
238.147	3	40	1098	0	2
243.908	3	41	1050	0	2
249.669	3	42	280	1	1
258.001	3	43	1075	0	2
263.762	3	44	276	0	2
269.523	3	45	338	0	2
275.284	3	46	447	0	2
281.029	3	47	1046	0	2
286.79	3	48	346	1	1
295.172	3	49	304	0	2
300.95	3	50	357	0	2
306.711	3	51	267	0	2
312.439	3	52	1027	0	2
318.183	3	53	498	0	2
323.928	3	54	458	0	2
329.672	3	55	367	0	2
335.433	3	56	466	0	2
341.194	3	57	251	1	1
349.644	3	58	459	0	2
355.405	3	59	396	0	2
361.166	3	60	482	1	1
370.383	3	61	254	0	2
376.144	3	62	392	0	2
381.889	3	63	327	1	1
390.121	3	64	308	0	2
395.882	3	65	450	0	2
401.693	3	66	387	0	2
