onset	duration	trial_num	stim_id	is_task	correct
17.481	3	1	1069	0	2
23.275	3	2	794	0	2
29.07	3	3	900	0	2
34.831	3	4	959	0	2
40.592	3	5	1047	0	2
46.353	3	6	981	0	2
52.131	3	7	809	0	2
57.892	3	8	975	0	2
63.653	3	9	887	0	2
69.447	3	10	910	0	2
75.208	3	11	973	0	2
80.969	3	12	902	0	2
86.73	3	13	778	0	2
92.525	3	14	790	0	2
98.286	3	15	847	0	2
104.08	3	16	883	0	2
109.875	3	17	1067	0	2
115.636	3	18	859	0	2
121.397	3	19	958	0	2
127.174	3	20	916	0	2
132.935	3	21	957	0	2
138.68	3	22	1032	1	1
146.228	3	23	1097	0	2
151.989	3	24	1004	0	2
157.766	3	25	803	0	2
163.527	3	26	919	0	2
169.288	3	27	899	0	2
175.066	3	28	935	0	2
180.827	3	29	820	0	2
186.588	3	30	817	0	2
192.349	3	31	821	1	1
199.53	3	32	1026	0	2
205.291	3	33	948	0	2
211.052	3	34	771	0	2
216.796	3	35	762	0	2
222.557	3	36	1009	1	1
229.621	3	37	869	0	2
235.382	3	38	774	0	2
241.143	3	39	815	0	2
246.904	3	40	789	0	2
252.665	3	41	874	0	2
258.426	3	42	881	1	1
265.74	3	43	915	0	2
271.501	3	44	931	0	2
277.262	3	45	1065	0	2
283.023	3	46	848	0	2
288.801	3	47	1089	0	2
294.562	3	48	842	0	2
300.323	3	49	971	1	1
307.186	3	50	999	0	2
312.98	3	51	751	0	2
318.725	3	52	875	1	1
325.688	3	53	901	0	2
331.483	3	54	933	0	2
337.244	3	55	979	0	2
343.005	3	56	913	0	2
348.766	3	57	908	0	2
354.527	3	58	755	0	2
360.271	3	59	1007	0	2
366.032	3	60	922	0	2
371.793	3	61	1055	0	2
377.554	3	62	960	0	2
383.298	3	63	1061	0	2
389.076	3	64	1087	0	2
394.871	3	65	1057	0	2
400.598	3	66	1025	0	2
